Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_Div,2021_Div,2022_Div,2023_Div,2020_2021_Div_Grow,2021_2022_Div_Grow,2022_2023_Div_Grow
CFG,1057000000.0,2319000000.0,2073000000.0,1608000000.0,1.56,1.56,1.62,1.68,0.0,0.0384615384615384,0.0370370370370369
CFR,331151000.0,443079000.0,579150000.0,597973000.0,2.85,2.94,3.24,3.58,0.031578947368421,0.1020408163265307,0.1049382716049382
CHCO,89595000.0,88080000.0,102071000.0,114365000.0,2.28,2.32,2.45,2.665,0.0175438596491228,0.0560344827586208,0.0877551020408162
CHCT,19077000.0,22492000.0,22019000.0,7714000.0,1.686,1.726,1.766,1.806,0.0237247924080664,0.0231749710312862,0.0226500566251415
CHD,785900000.0,827500000.0,413900000.0,755600000.0,0.96,1.012,1.052,1.092,0.0541666666666667,0.0395256916996047,0.0380228136882129
CHDN,-81900000.0,249100000.0,439400000.0,417300000.0,0.311,0.3335,0.357,0.382,0.072347266881029,0.0704647676161917,0.0700280112044818
CHE,319466000.0,268550000.0,249624000.0,272509000.0,1.32,1.4,1.48,1.56,0.0606060606060604,0.0571428571428572,0.0540540540540541
CHMG,19262000.0,26425000.0,28783000.0,25000000.0,1.04,1.19,1.24,1.24,0.1442307692307691,0.0420168067226891,0.0
CI,8458000000.0,5370000000.0,6704000000.0,5164000000.0,0.04,4.0,4.48,4.92,99.0,0.1200000000000001,0.0982142857142855
CINF,1216000000.0,2968000000.0,-487000000.0,1843000000.0,2.4,2.52,2.76,3.0,0.05,0.0952380952380951,0.0869565217391305
CRS,1500000.0,-229600000.0,-49100000.0,56400000.0,0.8,0.8,0.8,0.8,0.0,0.0,0.0
