Ticker,2023_MarketCap
L,16750891008
LAD,7024560128
LADR,1387584896
LAKE,123623912
LAMR,11953459200
LANC,5201193984
LAND,455946464
LARK,101622400
LASR,545693888
LAUR,2280851968
LAZ,3517073408
LBAI,794884864
LBC,466804608
LBRDA,7110905856
LBRDK,7100496896
LBRT,3742170624
LBTYA,6130549760
LBTYK,6130098176
LC,846178752
LCII,2665688576
LCNB,212830160
LCUT,201943008
LDOS,18426998784
LE,432700064
LEA,7397508096
LECO,12725833728
LEE,76174688
LEG,2434654720
LEGH,498886624
LEN,42376642560
LEU,682432000
LEVI,8660992000
LFUS,5860121600
LFVN,76438888
LGIH,2197394944
LGL,31378672
LGND,1256369664
LH,17055482880
LIFE,108025872
LII,17033498624
LILA,1544103296
LILAK,1538936704
LIN,212726579200
LINC,332228032
LIND,340559008
LIQT,15982960
LITE,2969980928
LIVE,79462936
LIVN,3037876736
LKFN,1534749952
LKQ,11674117120
LL,45624428
LLY,748005621760
LMAT,1464152704
LMFA,5983104
LMNR,355488736
LMT,111610994688
LNC,4724772352
LNG,37047615488
LNN,1288059264
LNT,12677892096
LNTH,4546328576
LOAN,58073136
LOB,1502076032
LOCO,269112736
LODE,37029728
LOOP,134506784
LOPE,3905085184
LOVE,346504608
LOW,131203629056
LPCN,25616632
LPG,1688271104
LPLA,20374243328
LPSN,45324300
LPTH,53611020
LPX,5320303616
LQDA,971642880
LQDT,531904704
LRCX,120770428928
LRN,2905993984
LSBK,65949700
LSCC,10456478720
LSTR,6288390144
LSXMA,8051252224
LSXMK,8063606272
LTBR,35550824
LTC,1444330624
LTRPA,143818240
LTRX,138851536
LULU,45345239040
LUNA,69740968
LUV,15844122624
LVS,33556916224
LW,12063868928
LWAY,299255680
LXP,2490778880
LXRX,379204960
LXU,674329472
LYB,32766887936
LYFT,6586964480
LYTS,434310272
LYV,20742969344
LZB,1409245312
M,5054881280
MA,423693254656
MAA,15738463232
MAC,3368444672
MACK,214126064
MAN,3675950592
MANH,12780988416
MAR,68458635264
MARA,4556571136
MARK,5677463
MAS,15306957824
MASI,7204661760
MAT,6303160832
MATW,832249280
MATX,3734442240
MAYS,92900240
MBCN,181555648
MBI,325601952
MBIN,1773207296
MBIO,2544535
MBOT,13366592
MBUU,704862592
MBWM,580238016
MC,3481150720
MCB,449582624
MCBC,487934720
MCD,197890637824
MCFT,347148832
MCHP,50418200576
MCHX,58720820
MCK,70352560128
MCO,67980611584
MCRB,137433280
MCRI,1299834880
