Ticker,2023_MarketCap,Market_Cap_Cat
FOXA,14248153088,large-cap
FOXF,1640277888,small-cap
FPI,531099616,small-cap
FR,6272031744,mid-cap
FRBA,292122112,small-cap
FRBK,352055,micro-cap
FRD,135410176,micro-cap
FRME,1995492736,small-cap
FRPH,584078464,small-cap
FRPT,5162961920,mid-cap
FRT,8673075200,mid-cap
FSBW,249225936,micro-cap
FSFG,109548240,micro-cap
FSLR,19188703232,large-cap
FSLY,1748761600,small-cap
FSP,200654208,micro-cap
FSS,5058732032,mid-cap
FSTR,262335744,small-cap
FTDR,2402503680,mid-cap
FTEK,38895456,micro-cap
FTI,11231182848,large-cap
FTK,103813848,micro-cap
FTNT,48982691840,large-cap
FTV,27004848128,large-cap
FUL,4088914688,mid-cap
FULT,2740774400,mid-cap
FUNC,151256560,micro-cap
