Ticker,2023_PE,Gsector
ENR,8.199141,Industrials
ENS,10.965394,Industrials
ENSG,19.997458,Healthcare
ENSV,-3.5966668,Energy
ENTA,-2.9036403,Healthcare
ENTG,30.591112,Technology
ENV,19.695238,Technology
ENVA,6.490062,Financial Services
ENZ,-2.6794872,Healthcare
EOG,11.020065,Energy
EOLS,73.0,Healthcare
EPAM,19.890192,Technology
EPC,12.29836,Consumer Defensive
EPM,10.8018875,Energy
EPR,15.182156,Real Estate
EPRT,21.557377,Real Estate
EQBK,7.7302327,Financial Services
EQC,-187.4,Real Estate
EQH,5.1553397,Financial Services
EQIX,53.040894,Real Estate
EQR,39.597565,Real Estate
EQT,10.83201,Energy
ERIE,35.731457,Financial Services
ERII,22.738462,Industrials
ES,12.476091,Utilities
ESCA,6.673469,Consumer Cyclical
ESE,21.761007,Technology
ESGR,7.3197503,Financial Services
ESNT,7.630682,Financial Services
ESP,2380.0,Industrials
ESPR,39.899998,Healthcare
ESRT,77.083336,Real Estate
ESS,43.929077,Real Estate
ESSA,7.9705887,Financial Services
ESTC,75.14388,Technology
ETN,28.363518,Industrials
ETR,13.82513,Utilities
ETRN,14.427084,Energy
ETSY,22.679869,Consumer Cyclical
EVBG,18.529413,Technology
EVBN,10.978724,Financial Services
EVC,-11.184211,Communication Services
EVER,-105.02631,Communication Services
EVFM,-0.02690909,Healthcare
EVH,16.654762,Healthcare
EVI,,Industrials
EVOK,15.400001,Healthcare
EVOL,,Technology
EVR,12.231383,Financial Services
EVRG,12.966873,Utilities
EVRI,8.117647,Consumer Cyclical
EVTC,11.92163,Technology
EW,27.544874,Healthcare
EWBC,9.092262,Financial Services
EXAS,989.4667,Healthcare
EXC,14.210305,Utilities
EXEL,16.020407,Healthcare
EXLS,16.043478,Technology
EXP,16.008696,Basic Materials
EXPD,22.227722,Industrials
EXPE,8.864846,Consumer Cyclical
EXPI,55.722218,Real Estate
EXPO,45.514706,Industrials
EXPR,-0.12575758,Consumer Cyclical
EXR,28.22314,Real Estate
EXTR,13.783133,Technology
EYE,22.468353,Consumer Cyclical
EYPT,-6.2253523,Healthcare
EZPW,9.289916,Financial Services
F,6.411917,Consumer Cyclical
FAF,10.280535,Financial Services
FANG,10.007854,Energy
FARM,-12.46,Consumer Defensive
FARO,18.115385,Technology
FAST,29.636364,Industrials
FATE,-2.2541437,Healthcare
FBIO,-0.36737183,Healthcare
FBIZ,6.3723607,Financial Services
FBK,11.7955265,Financial Services
FBMS,9.033834,Financial Services
FBNC,10.878092,Financial Services
FBP,9.432433,Financial Services
FC,18.369158,Consumer Defensive
FCAP,,Financial Services
FCBC,14.60965,Financial Services
FCCO,9.092391,Financial Services
FCEL,-3.6148,Industrials
FCF,9.206897,Financial Services
FCFS,14.136646,Financial Services
FCN,22.689075,Industrials
FCNCA,8.811163,Financial Services
FCPT,21.142857,Real Estate
FCX,24.82683,Basic Materials
FDBC,,Financial Services
FDP,9.858238,Consumer Defensive
FDS,23.979713,Financial Services
FDX,12.387687,Industrials
FE,13.38112,Utilities
FEIM,,Technology
FELE,20.963984,Industrials
FET,9.0,Energy
FF,6.825,Basic Materials
FFBC,9.279166,Financial Services
FFIC,9.745614,Financial Services
FFIN,19.264517,Financial Services
FFIV,11.925017,Technology
FFNW,37.072727,Financial Services
FFWM,7.0548778,Financial Services
FGBI,11.466666,Financial Services
FGEN,-2.3977273,Healthcare
FHB,12.011173,Financial Services
FHN,9.029941,Financial Services
FI,15.181999,Technology
FIBK,10.42085,Financial Services
FICO,39.042828,Technology
FIS,13.01695,Technology
FISI,5.5987053,Financial Services
FITB,10.34972,Financial Services
