Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
CCRN,-1118.3768,42.7713,-61.461,14.554621
CCS,141.8079,5.3404,-50.6358,6.7933106
CDE,-222.2227,149.3679,32.6539,16.642857
CDLX,131.9747,261.8901,-71.0483,31.9125
CDMO,,1038.7085,-99.5614,-82.44444
CDNA,63.8452,149.863,148.3704,-17.978262
CDNS,17.8299,21.9837,22.6387,40.629524
CDTX,-41.1088,-20.9174,-31.7205,-9.127819
CDW,25.3773,12.7352,-0.9152,21.450928
CDXC,36.1506,-39.0298,-70.1451,72.6
CDXS,-11.3744,57.8646,126.9588,-4.470588
CDZI,-17.3679,-20.6631,26.8393,-11.842106
CE,-4.7859,0.2116,3.4847,11.242641
CEI,-76.6326,6.4993,111.6372,
CEIX,-449.6668,1269.0384,40.4543,6.259396
CELC,212.4838,36.361,57.9863,-4.7109146
CELH,-53.8128,-4856.9723,-221.1013,46.915585
CENT,25.7466,0.2676,-17.4227,16.626017
CENTA,25.7466,0.2676,-17.4227,14.894515
CENX,35.5231,-91.5619,205.6738,18.648937
CERS,-9.1602,-21.3245,-12.3659,-28.583334
CETX,-25.4256,66.7644,-29.3687,2.6363637
CEVA,-116.6456,-5954.2929,-48.7642,40.61
CF,189.2744,264.8855,-54.4232,13.326633
CFBK,-37.6756,-1.5661,-6.7551,8.338964
CFFI,29.6152,1.7163,-19.0507,
CFFN,17.8835,11.0026,-220.3735,9.846938
CFG,119.3945,-10.608,-22.4313,8.555693
CFR,33.7997,30.7103,3.2501,12.479191
CGNX,58.8554,-22.9941,-47.4613,35.243694
CHCI,553.6503,-46.0137,5.948,
CHCO,-1.6909,15.8844,12.0446,13.981055
CHCT,17.9011,-2.103,-64.9666,29.622223
CHD,5.2933,-49.9819,82.5562,28.681818
CHDN,-404.1514,76.395,-5.0296,16.764324
CHE,-15.9378,-7.0475,9.1678,22.354471
CHEF,-94.0617,-663.6807,24.6486,20.662577
CHGG,-76.5633,-18387.9287,-93.1818,4.857759
CHH,283.2982,14.9486,-22.1721,17.17971
CHK,,,-50.9927,12.697803
CHMG,37.1872,8.9234,-13.1432,8.026316
CHMI,-123.5131,76.9845,-260.0534,3.7824998
CHRS,-317.0987,1.621,-18.4614,51.625004
CHRW,66.7081,11.4042,-65.4311,18.021795
CHTR,44.4444,8.6162,-9.8516,7.477694
CHUY,-1016.0899,-30.8888,51.0909,14.202831
CI,-36.5098,24.8417,-22.9714,11.134873
CIA,-761.6855,-64.2299,-6.0368,
CIEN,38.4468,-69.4316,66.6603,14.968254
CIM,654.1743,-176.564,-124.5785,6.75
CINF,144.0789,-116.4084,-478.4394,16.315788
CIO,10600.1325,-96.4925,-115.7858,-9.540816
CIVB,25.9505,-2.7598,8.971,7.0731707
CIX,60.496,25.9718,8.2507,20.881987
CIZN,8.1229,28.3694,-80.7277,
CKX,141.4231,-260.825,-110.8491,
CL,-19.6289,-17.59,28.8515,25.560055
CLAR,370.5681,-367.428,-85.46,22.553572
CLB,-120.2044,-1.389,,13.186991
CLDT,-75.7836,-153.2591,-73.0342,-926.00006
CLDX,17.9508,59.3014,25.9105,-11.919095
CLF,-2549.1803,-55.3213,-70.1124,10.888199
CLFD,178.7193,142.8396,-34.093,297.4
CLH,50.7353,102.5831,-8.2304,21.646534
CLIR,14.6281,-27.0308,,27.84
CLNE,844.3025,-36.9452,69.4056,47.899998
CLPR,54.6474,-37.2084,23.8455,10.575
CLRB,59.8124,18.5674,32.8036,-1.0883392
CLRO,-1623.5644,-367.1692,,-1.3061429
CLW,-136.4462,-263.7011,134.1304,9.635612
CLX,-24.3876,-34.9296,-67.7489,23.154688
CMA,135.0101,-1.4555,-23.4579,8.351308
CMC,47.714,194.8329,-29.3694,10.651575
CMCO,,225.7193,63.2805,12.345132
CMCSA,34.4124,-62.0736,186.5549,8.45323
CMCT,-94.3394,-796.2353,-919.2802,6.3611107
CME,25.2328,2.071,19.8885,20.877254
CMG,83.5431,37.6911,36.6628,47.889187
CMI,19.1168,0.9385,-65.8298,13.77574
CMP,-438.0349,-88.2325,-161.753,17.876713
CMRX,298.0424,-199.3829,-147.6834,-0.9782292
CMS,79.2053,-38.1375,5.9737,16.663889
CMT,-42.7924,161.2503,66.5492,8.383929
CMTL,-1146.7236,-55.0191,-18.6161,2.9850745
CNA,71.5942,-42.3986,76.6862,8.299242
CNC,-25.4978,-10.7647,124.792,9.625
CNDT,-76.2712,550.0,62.6374,-19.235294
CNFR,-283.8655,876.3254,142.5241,-12.594286
CNK,-31.4527,-35.8562,-169.3953,10.391566
CNMD,557.1609,-228.8446,-179.9918,12.236364
CNNE,-116.0676,49.1638,-26.7928,-35.945454
CNO,88.9662,10.5734,-56.1529,7.5404625
CNOB,82.8515,-3.9447,-30.5149,8.521126
CNP,-292.238,-28.8694,-13.245,16.623562
CNS,176.0315,-19.0893,-24.5513,21.21854
CNSL,-389.5989,-230.8166,-278.83,-2.8084414
CNTY,-142.9607,-61.3229,-453.5356,-13.590909
CNX,3.0733,-71.5073,-1311.1151,13.319445
CNXN,25.3582,27.6271,-6.6667,16.407793
CODA,47.9778,-13.0674,-27.366,15.204546
COF,356.5217,-40.5973,-33.6005,8.964043
COHN,-16.8743,-213.3892,-61.8119,
COHR,-543.9153,-21.1032,-210.521,18.973244
